中文俗名,學名,英文俗名,comNameCodes,sciNameCodes,bandingCodes,familySciName
樹鴨,Dendrocygna javanica,Lesser Whistling-Duck,"LEWD,LWDU",DEJA,,Anatidae
斑頭雁,Anser indicus,Bar-headed Goose,BHGO,ANIN,,Anatidae
灰雁,Anser anser,Graylag Goose,,ANAN,GRGO,Anatidae
鴻雁,Anser cygnoides,Swan Goose,SWGO,ANCY,,Anatidae
灰雁x鴻雁(雜交),Anser anser x cygnoides,Graylag x Swan Goose (hybrid),"GRGO,SWGO","ANAN,ANCY",,Anatidae
白額雁,Anser albifrons,Greater White-fronted Goose,,ANAL,GWFG,Anatidae
小白額雁,Anser erythropus,Lesser White-fronted Goose,,ANER,LWFG,Anatidae
寒林豆雁,Anser fabalis,Taiga Bean-Goose,"BEGO,TBGO",ANFA,TABG,Anatidae
凍原豆雁,Anser serrirostris,Tundra Bean-Goose,"BEGO,TBGO",ANSE,TUBG,Anatidae
Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. x Canada Goose (hybrid),"CANG,CAGO,DGSP",BRCA,,Anatidae
疣鼻天鵝,Cygnus olor,Mute Swan,,CYOL,MUSW,Anatidae
黑天鵝,Cygnus atratus,Black Swan,BLSW,CYAT,,Anatidae
小天鵝,Cygnus columbianus,Tundra Swan,BESW,CYCO,TUSW,Anatidae
黃嘴天鵝,Cygnus cygnus,Whooper Swan,WHSW,CYCY,WHOS,Anatidae
埃及雁,Alopochen aegyptiaca,Egyptian Goose,,ALAE,EGGO,Anatidae
瀆鳧,Tadorna ferruginea,Ruddy Shelduck,,TAFE,RUSH,Anatidae
花鳧,Tadorna tadorna,Common Shelduck,COSH,TATA,COMS,Anatidae
疣鼻棲鴨,Cairina moschata,Muscovy Duck,,CAMO,MUDU,Anatidae
棉鴨,Nettapus coromandelianus,Cotton Pygmy-Goose,"COPG,CPGO",NECO,,Anatidae
美洲鴛鴦,Aix sponsa,Wood Duck,CWDU,AISP,WODU,Anatidae
鴛鴦,Aix galericulata,Mandarin Duck,MADU,AIGA,,Anatidae
巴鴨,Sibirionetta formosa,Baikal Teal,,SIFO,BATE,Anatidae
白眉鴨,Spatula querquedula,Garganey,,SPQU,GARG,Anatidae
琵嘴鴨,Spatula clypeata,Northern Shoveler,NOSH,SPCL,NSHO,Anatidae
Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,Blue-winged Teal x Northern Shoveler (hybrid),"NSHO,BWTE,NOSH","SPDI,SPCL",,Anatidae
赤膀鴨,Mareca strepera,Gadwall,,MAST,GADW,Anatidae
琵嘴鴨x赤膀鴨(雜交),Spatula clypeata x Mareca strepera,Northern Shoveler x Gadwall (hybrid),"GADW,NSHO,NOSH","SPCL,MAST",,Anatidae
羅文鴨,Mareca falcata,Falcated Duck,,MAFA,FADU,Anatidae
赤頸鴨,Mareca penelope,Eurasian Wigeon,,MAPE,EUWI,Anatidae
葡萄胸鴨,Mareca americana,American Wigeon,,MAAM,AMWI,Anatidae
赤頸鴨x葡萄胸鴨(雜交),Mareca penelope x americana,Eurasian x American Wigeon (hybrid),"AMWI,EUWI","MAPE,MAAM",,Anatidae
呂宋鴨,Anas luzonica,Philippine Duck,PHDU,ANLU,,Anatidae
花嘴鴨,Anas zonorhyncha,Eastern Spot-billed Duck,CSBD,ANZO,ESBD,Anatidae
綠頭鴨,Anas platyrhynchos,Mallard,,ANPL,MALL,Anatidae
疣鼻棲鴨x綠頭鴨(雜交),Cairina moschata x Anas platyrhynchos,Muscovy Duck x Mallard (hybrid),"MUDU,MALL","ANPL,CAMO",,Anatidae
綠頭鴨x花嘴鴨(雜交),Anas platyrhynchos x zonorhyncha,Mallard x Eastern Spot-billed Duck (hybrid),"ESBD,CSBD,MALL","ANZO,ANPL",,Anatidae
尖尾鴨,Anas acuta,Northern Pintail,,ANAC,NOPI,Anatidae
小水鴨,Anas crecca,Green-winged Teal,"EUTE,CWTE,EWTE",ANCR,GWTE,Anatidae
赤嘴潛鴨,Netta rufina,Red-crested Pochard,RCPO,NERU,,Anatidae
紅頭潛鴨,Aythya ferina,Common Pochard,COPO,AYFE,COMP,Anatidae
環頸潛鴨,Aythya collaris,Ring-necked Duck,,AYCO,RNDU,Anatidae
白眼潛鴨,Aythya nyroca,Ferruginous Duck,FEDU,AYNY,,Anatidae
青頭潛鴨,Aythya baeri,Baer's Pochard,BAPO,AYBA,,Anatidae
白眼潛鴨x青頭潛鴨(雜交),Aythya nyroca x baeri,Ferruginous Duck x Baer's Pochard (hybrid),"BAPO,FEDU","AYNY,AYBA",,Anatidae
鳳頭潛鴨,Aythya fuligula,Tufted Duck,,AYFU,TUDU,Anatidae
斑背潛鴨,Aythya marila,Greater Scaup,,AYMA,GRSC,Anatidae
鳳頭潛鴨x斑背潛鴨(雜交),Aythya fuligula x marila,Tufted Duck x Greater Scaup (hybrid),"TUDU,GRSC","AYFU,AYMA",,Anatidae
小斑背潛鴨,Aythya affinis,Lesser Scaup,,AYAF,LESC,Anatidae
長尾鴨,Clangula hyemalis,Long-tailed Duck,,CLHY,LTDU,Anatidae
鵲鴨,Bucephala clangula,Common Goldeneye,,BUCL,COGO,Anatidae
白秋沙,Mergellus albellus,Smew,,MEAL,SMEW,Anatidae
川秋沙,Mergus merganser,Common Merganser,GOOS,MEME,COME,Anatidae
紅胸秋沙,Mergus serrator,Red-breasted Merganser,,MESE,RBME,Anatidae
唐秋沙,Mergus squamatus,Scaly-sided Merganser,SSME,MESQ,,Anatidae
普通珠雞,Numida meleagris,Helmeted Guineafowl,HEGU,NUME,HELG,Numididae
臺灣山鷓鴣,Arborophila crudigularis,Taiwan Partridge,TAPA,ARCR,,Phasianidae
火雞,Meleagris gallopavo,Wild Turkey,,MEGA,WITU,Phasianidae
黑長尾雉,Syrmaticus mikado,Mikado Pheasant,MIPH,SYMI,,Phasianidae
紅腹錦雞,Chrysolophus pictus,Golden Pheasant,GOPH,CHPI,,Phasianidae
環頸雉,Phasianus colchicus,Ring-necked Pheasant,"RNPH,COPH",PHCO,RNEP,Phasianidae
藍腹鷴,Lophura swinhoii,Swinhoe's Pheasant,SWPH,LOSW,,Phasianidae
白鷴,Lophura nycthemera,Silver Pheasant,SIPH,LONY,,Phasianidae
藍孔雀,Pavo cristatus,Indian Peafowl,,PACR,INPE,Phasianidae
臺灣竹雞,Bambusicola sonorivox,Taiwan Bamboo-Partridge,"TABP,TBPA",BASO,,Phasianidae
紅原雞,Gallus gallus,Red Junglefowl,,GAGA,REJU,Phasianidae
小鵪鶉,Synoicus chinensis,Blue-breasted Quail,"KIQU,ABQU,BBQU",SYCH,,Phasianidae
鵪鶉,Coturnix japonica,Japanese Quail,,COJA,JAQU,Phasianidae
原鴿,Columba livia,Rock Pigeon,"ROPI,RODO",COLI,,Columbidae
灰林鴿,Columba pulchricollis,Ashy Wood-Pigeon,"ASWO,AWPI,ASWP",COPU,,Columbidae
黑林鴿,Columba janthina,Black Wood-Pigeon,"BLWP,JAWO,BWPI",COJA,,Columbidae
白喉林鴿,Columba vitiensis,Metallic Pigeon,"MEPI,WTPI",COVI,,Columbidae
金背鳩,Streptopelia orientalis,Oriental Turtle-Dove,"OTDO,RTDO",STOR,ORTD,Columbidae
